LCLid,tstp,energy(kWh/hh)
MAC000092,2011-12-13 15:30:00.0000000, 0.105
MAC000092,2011-12-13 16:00:00.0000000, 0.072
MAC000092,2011-12-13 16:30:00.0000000, 0.32
MAC000092,2011-12-13 17:00:00.0000000, 0.873
MAC000092,2011-12-13 17:30:00.0000000, 1.11
MAC000092,2011-12-13 18:00:00.0000000, 0.69
MAC000092,2011-12-13 18:30:00.0000000, 0.21
MAC000092,2011-12-13 19:00:00.0000000, 0.325
MAC000092,2011-12-13 19:30:00.0000000, 0.319
MAC000092,2011-12-13 20:00:00.0000000, 0.17
MAC000092,2011-12-13 20:30:00.0000000, 0.189
MAC000092,2011-12-13 21:00:00.0000000, 0.075
MAC000092,2011-12-13 21:30:00.0000000, 0.068
MAC000092,2011-12-13 22:00:00.0000000, 0.169
MAC000092,2011-12-13 22:30:00.0000000, 0.11
MAC000092,2011-12-13 23:00:00.0000000, 0.086
MAC000092,2011-12-13 23:30:00.0000000, 0.16
MAC000092,2011-12-14 00:00:00.0000000, 0.028
MAC000092,2011-12-14 00:30:00.0000000, 0.05
MAC000092,2011-12-14 01:00:00.0000000, 0.021
MAC000092,2011-12-14 01:30:00.0000000, 0.003
MAC000092,2011-12-14 02:00:00.0000000, 0
MAC000092,2011-12-14 02:30:00.0000000, 0.003
MAC000092,2011-12-14 03:00:00.0000000, 0.044
MAC000092,2011-12-14 03:30:00.0000000, 0.008
MAC000092,2011-12-14 04:00:00.0000000, 0.003
MAC000092,2011-12-14 04:30:00.0000000, 0
MAC000092,2011-12-14 05:00:00.0000000, 0.003
MAC000092,2011-12-14 05:30:00.0000000, 0.044
MAC000092,2011-12-14 06:00:00.0000000, 0.008
MAC000092,2011-12-14 06:30:00.0000000, 0
MAC000092,2011-12-14 07:00:00.0000000, 0.173
MAC000092,2011-12-14 07:30:00.0000000, 0.177
MAC000092,2011-12-14 08:00:00.0000000, 1.011
MAC000092,2011-12-14 08:30:00.0000000, 0.317
MAC000092,2011-12-14 09:00:00.0000000, 0.427
MAC000092,2011-12-14 09:30:00.0000000, 0.647
MAC000092,2011-12-14 10:00:00.0000000, 0.307
MAC000092,2011-12-14 10:30:00.0000000, 0.199
MAC000092,2011-12-14 11:00:00.0000000, 0.09
MAC000092,2011-12-14 11:30:00.0000000, 0.002
MAC000092,2011-12-14 12:00:00.0000000, 0
MAC000092,2011-12-14 12:30:00.0000000, 0.005
MAC000092,2011-12-14 13:00:00.0000000, 0.043
MAC000092,2011-12-14 13:30:00.0000000, 0.007
MAC000092,2011-12-14 14:00:00.0000000, 0.147
MAC000092,2011-12-14 14:30:00.0000000, 0.07
MAC000092,2011-12-14 15:00:00.0000000, 0.093
MAC000092,2011-12-14 15:30:00.0000000, 0
MAC000092,2011-12-14 16:00:00.0000000, 0
MAC000092,2011-12-14 16:30:00.0000000, 0
MAC000092,2011-12-14 17:00:00.0000000, 0.013
MAC000092,2011-12-14 17:30:00.0000000, 0.042
MAC000092,2011-12-14 18:00:00.0000000, 0.193
MAC000092,2011-12-14 18:30:00.0000000, 0.242
MAC000092,2011-12-14 19:00:00.0000000, 0.292
MAC000092,2011-12-14 19:30:00.0000000, 0.185
MAC000092,2011-12-14 20:00:00.0000000, 0.164
MAC000092,2011-12-14 20:30:00.0000000, 0.114
MAC000092,2011-12-14 21:00:00.0000000, 0.072
MAC000092,2011-12-14 21:30:00.0000000, 0.09
MAC000092,2011-12-14 22:00:00.0000000, 0.165
MAC000092,2011-12-14 22:30:00.0000000, 0.206
MAC000092,2011-12-14 23:00:00.0000000, 0.25
MAC000092,2011-12-14 23:30:00.0000000, 0.2
MAC000092,2011-12-15 00:00:00.0000000, 0.058
MAC000092,2011-12-15 00:30:00.0000000, 0.051
MAC000092,2011-12-15 01:00:00.0000000, 0.042
MAC000092,2011-12-15 01:30:00.0000000, 0.004
MAC000092,2011-12-15 02:00:00.0000000, 0
MAC000092,2011-12-15 02:30:00.0000000, 0
MAC000092,2011-12-15 03:00:00.0000000, 0.022
MAC000092,2011-12-15 03:30:00.0000000, 0.04
MAC000092,2011-12-15 04:00:00.0000000, 0
MAC000092,2011-12-15 04:30:00.0000000, 0
MAC000092,2011-12-15 05:00:00.0000000, 0
MAC000092,2011-12-15 05:30:00.0000000, 0
MAC000092,2011-12-15 06:00:00.0000000, 0.044
MAC000092,2011-12-15 06:30:00.0000000, 0.017
MAC000092,2011-12-15 07:00:00.0000000, 0.003
MAC000092,2011-12-15 07:30:00.0000000, 0.207
MAC000092,2011-12-15 08:00:00.0000000, 0.154
MAC000092,2011-12-15 08:30:00.0000000, 0.377
MAC000092,2011-12-15 09:00:00.0000000, 0.359
MAC000092,2011-12-15 09:30:00.0000000, 0.18
MAC000092,2011-12-15 10:00:00.0000000, 0.019
MAC000092,2011-12-15 10:30:00.0000000, 0.198
MAC000092,2011-12-15 11:00:00.0000000, 0.037
MAC000092,2011-12-15 11:30:00.0000000, 0.29
MAC000092,2011-12-15 12:00:00.0000000, 0.026
MAC000092,2011-12-15 12:30:00.0000000, 0.035
MAC000092,2011-12-15 13:00:00.0000000, 0.17
MAC000092,2011-12-15 13:30:00.0000000, 0.038
MAC000092,2011-12-15 14:00:00.0000000, 0.037
MAC000092,2011-12-15 14:30:00.0000000, 0.056
MAC000092,2011-12-15 15:00:00.0000000, 0.098
MAC000092,2011-12-15 15:30:00.0000000, 0.166
MAC000092,2011-12-15 16:00:00.0000000, 0.221
MAC000092,2011-12-15 16:30:00.0000000, 0.256
MAC000092,2011-12-15 17:00:00.0000000, 0.968
MAC000092,2011-12-15 17:30:00.0000000, 0.882
MAC000092,2011-12-15 18:00:00.0000000, 0.689
