LCLid,tstp,energy(kWh/hh)
MAC000242,2011-12-04 20:30:00.0000000, 0.154 
MAC000242,2011-12-04 21:00:00.0000000, 0.12 
MAC000242,2011-12-04 21:30:00.0000000, 0.197 
MAC000242,2011-12-04 22:00:00.0000000, 0.101 
MAC000242,2011-12-04 22:30:00.0000000, 0.116 
MAC000242,2011-12-04 23:00:00.0000000, 0.036 
MAC000242,2011-12-04 23:30:00.0000000, 0.017 
MAC000242,2011-12-05 00:00:00.0000000, 0.014 
MAC000242,2011-12-05 00:30:00.0000000, 0.027 
MAC000242,2011-12-05 01:00:00.0000000, 0.021 
MAC000242,2011-12-05 01:30:00.0000000, 0.008 
MAC000242,2011-12-05 02:00:00.0000000, 0.025 
MAC000242,2011-12-05 02:30:00.0000000, 0.026 
MAC000242,2011-12-05 03:00:00.0000000, 0.007 
MAC000242,2011-12-05 03:30:00.0000000, 0.021 
MAC000242,2011-12-05 04:00:00.0000000, 0.027 
MAC000242,2011-12-05 04:30:00.0000000, 0.006 
MAC000242,2011-12-05 05:00:00.0000000, 0.021 
MAC000242,2011-12-05 05:30:00.0000000, 0.027 
MAC000242,2011-12-05 06:00:00.0000000, 0.007 
MAC000242,2011-12-05 06:30:00.0000000, 0.021 
MAC000242,2011-12-05 07:00:00.0000000, 0.026 
MAC000242,2011-12-05 07:30:00.0000000, 0.002 
MAC000242,2011-12-05 08:00:00.0000000, 0.027 
MAC000242,2011-12-05 08:30:00.0000000, 0.044 
MAC000242,2011-12-05 09:00:00.0000000, 0.156 
MAC000242,2011-12-05 09:30:00.0000000, 0.13 
MAC000242,2011-12-05 10:00:00.0000000, 0.16 
MAC000242,2011-12-05 10:30:00.0000000, 0.069 
MAC000242,2011-12-05 11:00:00.0000000, 0.081 
MAC000242,2011-12-05 11:30:00.0000000, 0.076 
MAC000242,2011-12-05 12:00:00.0000000, 0.034 
MAC000242,2011-12-05 12:30:00.0000000, 0.027 
MAC000242,2011-12-05 13:00:00.0000000, 0.011 
MAC000242,2011-12-05 13:30:00.0000000, 0.036 
MAC000242,2011-12-05 14:00:00.0000000, 0.011 
MAC000242,2011-12-05 14:30:00.0000000, 0.033 
MAC000242,2011-12-05 15:00:00.0000000, 0.119 
MAC000242,2011-12-05 15:30:00.0000000, 0.091 
MAC000242,2011-12-05 16:00:00.0000000, 0.051 
MAC000242,2011-12-05 16:30:00.0000000, 0.092 
MAC000242,2011-12-05 17:00:00.0000000, 0.052 
MAC000242,2011-12-05 17:30:00.0000000, 0.092 
MAC000242,2011-12-05 18:00:00.0000000, 0.096 
MAC000242,2011-12-05 18:30:00.0000000, 0.29 
MAC000242,2011-12-05 19:00:00.0000000, 0.32 
MAC000242,2011-12-05 19:30:00.0000000, 0.127 
MAC000242,2011-12-05 20:00:00.0000000, 0.124 
MAC000242,2011-12-05 20:30:00.0000000, 0.102 
MAC000242,2011-12-05 21:00:00.0000000, 0.135 
MAC000242,2011-12-05 21:30:00.0000000, 0.097 
MAC000242,2011-12-05 22:00:00.0000000, 0.127 
MAC000242,2011-12-05 22:30:00.0000000, 0.18 
MAC000242,2011-12-05 23:00:00.0000000, 0.08 
MAC000242,2011-12-05 23:30:00.0000000, 0.074 
MAC000242,2011-12-06 00:00:00.0000000, 0.012 
MAC000242,2011-12-06 00:30:00.0000000, 0.038 
MAC000242,2011-12-06 01:00:00.0000000, 0.004 
MAC000242,2011-12-06 01:30:00.0000000, 0.036 
MAC000242,2011-12-06 02:00:00.0000000, 0.013 
MAC000242,2011-12-06 02:30:00.0000000, 0.025 
MAC000242,2011-12-06 03:00:00.0000000, 0.023 
MAC000242,2011-12-06 03:30:00.0000000, 0.016 
MAC000242,2011-12-06 04:00:00.0000000, 0.031 
MAC000242,2011-12-06 04:30:00.0000000, 0.007 
MAC000242,2011-12-06 05:00:00.0000000, 0.036 
MAC000242,2011-12-06 05:30:00.0000000, 0.002 
MAC000242,2011-12-06 06:00:00.0000000, 0.035 
MAC000242,2011-12-06 06:30:00.0000000, 0.011 
MAC000242,2011-12-06 07:00:00.0000000, 0.025 
MAC000242,2011-12-06 07:30:00.0000000, 0.021 
MAC000242,2011-12-06 08:00:00.0000000, 0.014 
MAC000242,2011-12-06 08:30:00.0000000, 0.03 
MAC000242,2011-12-06 09:00:00.0000000, 0.111 
MAC000242,2011-12-06 09:30:00.0000000, 0.082 
MAC000242,2011-12-06 10:00:00.0000000, 0.066 
MAC000242,2011-12-06 10:30:00.0000000, 0.165 
MAC000242,2011-12-06 11:00:00.0000000, 0.091 
MAC000242,2011-12-06 11:30:00.0000000, 0.055 
MAC000242,2011-12-06 12:00:00.0000000, 0.088 
MAC000242,2011-12-06 12:30:00.0000000, 0.417 
MAC000242,2011-12-06 13:00:00.0000000, 0.063 
MAC000242,2011-12-06 13:30:00.0000000, 0.053 
MAC000242,2011-12-06 14:00:00.0000000, 0.001 
MAC000242,2011-12-06 14:30:00.0000000, 0.029 
MAC000242,2011-12-06 15:00:00.0000000, 0.015 
MAC000242,2011-12-06 15:30:00.0000000, 0.013 
MAC000242,2011-12-06 16:00:00.0000000, 0.028 
MAC000242,2011-12-06 16:30:00.0000000, 0 
MAC000242,2011-12-06 17:00:00.0000000, 0.028 
MAC000242,2011-12-06 17:30:00.0000000, 0.016 
MAC000242,2011-12-06 18:00:00.0000000, 0.067 
MAC000242,2011-12-06 18:30:00.0000000, 0.919 
MAC000242,2011-12-06 19:00:00.0000000, 0.427 
MAC000242,2011-12-06 19:30:00.0000000, 0.15 
MAC000242,2011-12-06 20:00:00.0000000, 0.124 
MAC000242,2011-12-06 20:30:00.0000000, 0.107 
MAC000242,2011-12-06 21:00:00.0000000, 0.12 
MAC000242,2011-12-06 21:30:00.0000000, 0.095 
MAC000242,2011-12-06 22:00:00.0000000, 0.114 
MAC000242,2011-12-06 22:30:00.0000000, 0.116 
MAC000242,2011-12-06 23:00:00.0000000, 0.104 
MAC000242,2011-12-06 23:30:00.0000000, 0.078 
MAC000242,2011-12-07 00:00:00.0000000, 0.022 
MAC000242,2011-12-07 00:30:00.0000000, 0.015 
MAC000242,2011-12-07 01:00:00.0000000, 0.031 
MAC000242,2011-12-07 01:30:00.0000000, 0.017 
MAC000242,2011-12-07 02:00:00.0000000, 0.012 
MAC000242,2011-12-07 02:30:00.0000000, 0.029 
MAC000242,2011-12-07 03:00:00.0000000, 0.017 
MAC000242,2011-12-07 03:30:00.0000000, 0.012 
MAC000242,2011-12-07 04:00:00.0000000, 0.029 
MAC000242,2011-12-07 04:30:00.0000000, 0.015 
MAC000242,2011-12-07 05:00:00.0000000, 0.014 
MAC000242,2011-12-07 05:30:00.0000000, 0.028 
MAC000242,2011-12-07 06:00:00.0000000, 0.013 
MAC000242,2011-12-07 06:30:00.0000000, 0.015 
MAC000242,2011-12-07 07:00:00.0000000, 0.028 
MAC000242,2011-12-07 07:30:00.0000000, 0.011 
MAC000242,2011-12-07 08:00:00.0000000, 0.017 
MAC000242,2011-12-07 08:30:00.0000000, 0.027 
MAC000242,2011-12-07 09:00:00.0000000, 0.007 
MAC000242,2011-12-07 09:30:00.0000000, 0.169 
MAC000242,2011-12-07 10:00:00.0000000, 0.078 
MAC000242,2011-12-07 10:30:00.0000000, 0.065 
MAC000242,2011-12-07 11:00:00.0000000, 0.076 
MAC000242,2011-12-07 11:30:00.0000000, 0.081 
MAC000242,2011-12-07 12:00:00.0000000, 0.056 
MAC000242,2011-12-07 12:30:00.0000000, 0.159 
MAC000242,2011-12-07 13:00:00.0000000, 0.184 
MAC000242,2011-12-07 13:30:00.0000000, 0.059 
MAC000242,2011-12-07 14:00:00.0000000, 0.077 
MAC000242,2011-12-07 14:30:00.0000000, 0.07 
MAC000242,2011-12-07 15:00:00.0000000, 0.052 
MAC000242,2011-12-07 15:30:00.0000000, 0.074 
MAC000242,2011-12-07 16:00:00.0000000, 0.073 
MAC000242,2011-12-07 16:30:00.0000000, 0.067 
MAC000242,2011-12-07 17:00:00.0000000, 0.084 
MAC000242,2011-12-07 17:30:00.0000000, 0.377 
MAC000242,2011-12-07 18:00:00.0000000, 0.623 
MAC000242,2011-12-07 18:30:00.0000000, 0.147 
MAC000242,2011-12-07 19:00:00.0000000, 0.111 
MAC000242,2011-12-07 19:30:00.0000000, 0.116 
MAC000242,2011-12-07 20:00:00.0000000, 0.141 
MAC000242,2011-12-07 20:30:00.0000000, 0.104 
MAC000242,2011-12-07 21:00:00.0000000, 0.109 
MAC000242,2011-12-07 21:30:00.0000000, 0.154 
MAC000242,2011-12-07 22:00:00.0000000, 0.146 
MAC000242,2011-12-07 22:30:00.0000000, 0.107 
MAC000242,2011-12-07 23:00:00.0000000, 0.125 
MAC000242,2011-12-07 23:30:00.0000000, 0.019 
MAC000242,2011-12-08 00:00:00.0000000, 0.02 
MAC000242,2011-12-08 00:30:00.0000000, 0.027 
MAC000242,2011-12-08 01:00:00.0000000, 0.007 
MAC000242,2011-12-08 01:30:00.0000000, 0.021 
MAC000242,2011-12-08 02:00:00.0000000, 0.026 
MAC000242,2011-12-08 02:30:00.0000000, 0.003 
MAC000242,2011-12-08 03:00:00.0000000, 0.026 
MAC000242,2011-12-08 03:30:00.0000000, 0.02 
MAC000242,2011-12-08 04:00:00.0000000, 0.008 
MAC000242,2011-12-08 04:30:00.0000000, 0.027 
MAC000242,2011-12-08 05:00:00.0000000, 0.013 
MAC000242,2011-12-08 05:30:00.0000000, 0.015 
MAC000242,2011-12-08 06:00:00.0000000, 0.027 
MAC000242,2011-12-08 06:30:00.0000000, 0.003 
MAC000242,2011-12-08 07:00:00.0000000, 0.026 
MAC000242,2011-12-08 07:30:00.0000000, 0.019 
MAC000242,2011-12-08 08:00:00.0000000, 0.009 
MAC000242,2011-12-08 08:30:00.0000000, 0.042 
MAC000242,2011-12-08 09:00:00.0000000, 0.158 
MAC000242,2011-12-08 09:30:00.0000000, 0.067 
MAC000242,2011-12-08 10:00:00.0000000, 0.08 
MAC000242,2011-12-08 10:30:00.0000000, 0.19 
MAC000242,2011-12-08 11:00:00.0000000, 0.083 
MAC000242,2011-12-08 11:30:00.0000000, 0.084 
MAC000242,2011-12-08 12:00:00.0000000, 0.057 
MAC000242,2011-12-08 12:30:00.0000000, 0.184 
MAC000242,2011-12-08 13:00:00.0000000, 0.291 
MAC000242,2011-12-08 13:30:00.0000000, 0.238 
MAC000242,2011-12-08 14:00:00.0000000, 0.145 
MAC000242,2011-12-08 14:30:00.0000000, 0.161 
MAC000242,2011-12-08 15:00:00.0000000, 0.106 
MAC000242,2011-12-08 15:30:00.0000000, 0.084 
MAC000242,2011-12-08 16:00:00.0000000, 0.109 
MAC000242,2011-12-08 16:30:00.0000000, 0.067 
MAC000242,2011-12-08 17:00:00.0000000, 0.254 
MAC000242,2011-12-08 17:30:00.0000000, 0.912 
MAC000242,2011-12-08 18:00:00.0000000, 0.116 
MAC000242,2011-12-08 18:30:00.0000000, 0.113 
MAC000242,2011-12-08 19:00:00.0000000, 0.119 
MAC000242,2011-12-08 19:30:00.0000000, 0.131 
MAC000242,2011-12-08 20:00:00.0000000, 0.099 
MAC000242,2011-12-08 20:30:00.0000000, 0.132 
MAC000242,2011-12-08 21:00:00.0000000, 0.106 
MAC000242,2011-12-08 21:30:00.0000000, 0.13 
MAC000242,2011-12-08 22:00:00.0000000, 0.102 
MAC000242,2011-12-08 22:30:00.0000000, 0.148 
MAC000242,2011-12-08 23:00:00.0000000, 0.067 
MAC000242,2011-12-08 23:30:00.0000000, 0.089 
MAC000242,2011-12-09 00:00:00.0000000, 0.036 
MAC000242,2011-12-09 00:30:00.0000000, 0.037 
MAC000242,2011-12-09 01:00:00.0000000, 0.014 
MAC000242,2011-12-09 01:30:00.0000000, 0.024 
MAC000242,2011-12-09 02:00:00.0000000, 0.028 
MAC000242,2011-12-09 02:30:00.0000000, 0.01 
MAC000242,2011-12-09 03:00:00.0000000, 0.033 
MAC000242,2011-12-09 03:30:00.0000000, 0.013 
MAC000242,2011-12-09 04:00:00.0000000, 0.02 
MAC000242,2011-12-09 04:30:00.0000000, 0.029 
MAC000242,2011-12-09 05:00:00.0000000, 0.004 
MAC000242,2011-12-09 05:30:00.0000000, 0.033 
MAC000242,2011-12-09 06:00:00.0000000, 0.013 
MAC000242,2011-12-09 06:30:00.0000000, 0.019 
MAC000242,2011-12-09 07:00:00.0000000, 0.028 
MAC000242,2011-12-09 07:30:00.0000000, 0.004 
MAC000242,2011-12-09 08:00:00.0000000, 0.032 
MAC000242,2011-12-09 08:30:00.0000000, 0.013 
MAC000242,2011-12-09 09:00:00.0000000, 0.143 
MAC000242,2011-12-09 09:30:00.0000000, 0.084 
MAC000242,2011-12-09 10:00:00.0000000, 0.155 
MAC000242,2011-12-09 10:30:00.0000000, 0.08 
MAC000242,2011-12-09 11:00:00.0000000, 0.086 
MAC000242,2011-12-09 11:30:00.0000000, 0.281 
MAC000242,2011-12-09 12:00:00.0000000, 0.082 
MAC000242,2011-12-09 12:30:00.0000000, 0.107 
MAC000242,2011-12-09 13:00:00.0000000, 0.058 
MAC000242,2011-12-09 13:30:00.0000000, 0.051 
MAC000242,2011-12-09 14:00:00.0000000, 0.018 
MAC000242,2011-12-09 14:30:00.0000000, 0.01 
MAC000242,2011-12-09 15:00:00.0000000, 0.032 
MAC000242,2011-12-09 15:30:00.0000000, 0.01 
MAC000242,2011-12-09 16:00:00.0000000, 0.02
