LCLid,datetime,energy(kWh/hh),temperature
MAC000002,2012-10-13 17:00:00,0.23,9.91
MAC000002,2012-10-13 17:30:00,0.176,9.01
MAC000002,2012-10-13 18:00:00,0.388,9.01
MAC000002,2012-10-13 18:30:00,0.26,7.63
MAC000002,2012-10-13 19:00:00,0.918,7.63
MAC000002,2012-10-13 19:30:00,0.278,7.01
MAC000002,2012-10-13 20:00:00,0.267,7.01
MAC000002,2012-10-13 20:30:00,0.239,6.53
MAC000002,2012-10-13 21:00:00,0.23,6.53
MAC000002,2012-10-13 21:30:00,0.233,6.41
MAC000002,2012-10-13 22:00:00,0.235,6.41
MAC000002,2012-10-13 22:30:00,0.188,5.92
MAC000002,2012-10-13 23:00:00,0.259,5.92
MAC000002,2012-10-13 23:30:00,0.25,5.69
MAC000002,2012-10-14 00:00:00,0.262,5.69
MAC000002,2012-10-14 00:30:00,0.166,5.17
MAC000002,2012-10-14 01:00:00,0.226,5.17
MAC000002,2012-10-14 01:30:00,0.088,4.67
MAC000002,2012-10-14 02:00:00,0.126,4.67
MAC000002,2012-10-14 02:30:00,0.082,4.11
MAC000246,2011-12-03 09:00:00,0.149,11.0
MAC000246,2011-12-03 09:30:00,0.154,11.42
MAC000246,2011-12-03 10:00:00,0.768,11.42
MAC000246,2011-12-03 10:30:00,1.179,11.41
MAC000246,2011-12-03 11:00:00,0.588,11.41
MAC000246,2011-12-03 11:30:00,0.144,11.33
MAC000246,2011-12-03 12:00:00,0.843,11.33
MAC000246,2011-12-03 12:30:00,0.752,11.41
MAC000246,2011-12-03 13:00:00,0.12,11.41
MAC000246,2011-12-03 13:30:00,0.09,11.28
MAC000246,2011-12-03 14:00:00,0.053,11.28
MAC000246,2011-12-03 14:30:00,0.053,10.42
MAC000246,2011-12-03 15:00:00,0.047,10.42
MAC000246,2011-12-03 15:30:00,0.05,10.09
MAC000246,2011-12-03 16:00:00,0.063,10.09
MAC000246,2011-12-03 16:30:00,0.069,9.79
MAC000246,2011-12-03 17:00:00,0.11,9.79
MAC000246,2011-12-03 17:30:00,0.07,9.06
MAC000246,2011-12-03 18:00:00,0.076,9.06
MAC000246,2011-12-03 18:30:00,0.076,8.16
MAC000246,2011-12-03 19:00:00,0.063,8.16
MAC000246,2011-12-03 19:30:00,0.095,8.27
MAC000246,2011-12-03 20:00:00,0.052,8.27
MAC000246,2011-12-03 20:30:00,0.049,8.59
MAC000246,2011-12-03 21:00:00,0.205,8.59
MAC000246,2011-12-03 21:30:00,0.229,8.12
MAC000246,2011-12-03 22:00:00,0.368,8.12
MAC000246,2011-12-03 22:30:00,0.295,8.14
MAC000246,2011-12-03 23:00:00,1.125,8.14
MAC000246,2011-12-03 23:30:00,1.072,8.6
MAC000246,2011-12-04 00:00:00,0.175,8.6
MAC000246,2011-12-04 00:30:00,0.098,8.64
MAC000246,2011-12-04 01:00:00,0.144,8.64
MAC000246,2011-12-04 01:30:00,0.065,8.63
MAC000246,2011-12-04 02:00:00,0.071,8.63
MAC000246,2011-12-04 02:30:00,0.037,8.56
MAC000246,2011-12-04 03:00:00,0.047,8.56
MAC000246,2011-12-04 03:30:00,0.042,8.03
MAC000246,2011-12-04 04:00:00,0.052,8.03
MAC000246,2011-12-04 04:30:00,0.078,7.57
MAC000246,2011-12-04 05:00:00,0.039,7.57
MAC000246,2011-12-04 05:30:00,0.05,7.53
MAC000246,2011-12-04 06:00:00,0.026,7.53
MAC000246,2011-12-04 06:30:00,0.091,7.6
MAC000246,2011-12-04 07:00:00,0.095,7.6
MAC000246,2011-12-04 07:30:00,0.096,7.87
MAC000246,2011-12-04 08:00:00,0.658,7.87
MAC000246,2011-12-04 08:30:00,0.459,8.03
MAC000246,2011-12-04 09:00:00,0.801,8.03
MAC000246,2011-12-04 09:30:00,0.933,8.11
MAC000246,2011-12-04 10:00:00,1.2130001,8.11
MAC000246,2011-12-04 10:30:00,0.175,8.56
MAC000246,2011-12-04 11:00:00,0.179,8.56
MAC000246,2011-12-04 11:30:00,0.989,9.04
MAC000246,2011-12-04 12:00:00,1.914,9.04
MAC000246,2011-12-04 12:30:00,1.421,9.11
MAC000246,2011-12-04 13:00:00,1.535,9.11
MAC000246,2011-12-04 13:30:00,0.634,9.08
MAC000246,2011-12-04 14:00:00,1.219,9.08
MAC000246,2011-12-04 14:30:00,0.821,8.34
MAC000246,2011-12-04 15:00:00,0.233,8.34
MAC000246,2011-12-04 15:30:00,0.132,8.18
MAC000246,2011-12-04 16:00:00,0.128,8.18
MAC000246,2011-12-04 16:30:00,0.118,8.08
MAC000246,2011-12-04 17:00:00,0.077,8.08
MAC000246,2011-12-04 17:30:00,0.095,7.97
MAC000246,2011-12-04 18:00:00,0.081,7.97
MAC000246,2011-12-04 18:30:00,0.097,7.53
MAC000246,2011-12-04 19:00:00,0.134,7.53
MAC000246,2011-12-04 19:30:00,0.314,5.49
MAC000246,2011-12-04 20:00:00,0.822,5.49
MAC000246,2011-12-04 20:30:00,0.226,5.32
MAC000246,2011-12-04 21:00:00,0.19,5.32
MAC000246,2011-12-04 21:30:00,1.054,5.11
MAC000246,2011-12-04 22:00:00,1.1160001,5.11
MAC000246,2011-12-04 22:30:00,0.936,4.69
MAC000246,2011-12-04 23:00:00,0.478,4.69
MAC000246,2011-12-04 23:30:00,0.375,4.21
MAC000246,2011-12-05 00:00:00,0.471,4.21
MAC000246,2011-12-05 00:30:00,0.934,4.14
MAC000246,2011-12-05 01:00:00,0.326,4.14
MAC000246,2011-12-05 01:30:00,0.143,4.09
MAC000246,2011-12-05 02:00:00,0.13,4.09
MAC000246,2011-12-05 02:30:00,0.109,3.56
MAC000246,2011-12-05 03:00:00,0.123,3.56
MAC000246,2011-12-05 03:30:00,0.088,3.46
MAC000246,2011-12-05 04:00:00,0.092,3.46
MAC000246,2011-12-05 04:30:00,0.09,3.1
MAC000246,2011-12-05 05:00:00,0.118,3.1
MAC000246,2011-12-05 05:30:00,0.098,3.12
MAC000246,2011-12-05 06:00:00,0.087,3.12
MAC000246,2011-12-05 06:30:00,0.094,3.11
MAC000246,2011-12-05 07:00:00,0.08,3.11
MAC000246,2011-12-05 07:30:00,0.288,2.81
MAC000246,2011-12-05 08:00:00,0.354,2.81
MAC000246,2011-12-05 08:30:00,0.239,3.34
MAC000246,2011-12-05 09:00:00,0.025,3.34
MAC000246,2011-12-05 09:30:00,0.039,4.96
MAC000246,2011-12-05 10:00:00,0.035,4.96
MAC000246,2011-12-05 10:30:00,0.031,5.85
MAC000450,2012-03-22 15:30:00,1.365,15.59
MAC000450,2012-03-22 16:00:00,1.274,15.59
MAC000450,2012-03-22 16:30:00,0.817,14.39
MAC000450,2012-03-22 17:00:00,0.678,14.39
MAC000450,2012-03-22 17:30:00,0.748,13.29
MAC000450,2012-03-22 18:00:00,0.825,13.29
MAC000450,2012-03-22 18:30:00,1.0599999,11.96
MAC000450,2012-03-22 19:00:00,1.788,11.96
MAC000450,2012-03-22 19:30:00,1.419,10.77
MAC000450,2012-03-22 20:00:00,1.928,10.77
MAC000450,2012-03-22 20:30:00,2.6589999,10.31
MAC000450,2012-03-22 21:00:00,2.3050001,10.31
MAC000450,2012-03-22 21:30:00,1.8279999,9.72
MAC000450,2012-03-22 22:00:00,1.905,9.72
MAC000450,2012-03-22 22:30:00,1.877,9.35
MAC000450,2012-03-22 23:00:00,1.655,9.35
MAC000450,2012-03-22 23:30:00,1.434,8.76
MAC000450,2012-03-23 00:00:00,1.337,8.76
MAC000450,2012-03-23 00:30:00,1.426,8.54
MAC000450,2012-03-23 01:00:00,0.996,8.54
MAC000450,2012-03-23 01:30:00,0.971,8.09
MAC000450,2012-03-23 02:00:00,0.994,8.09
MAC000450,2012-03-23 02:30:00,0.952,7.34
MAC000450,2012-03-23 03:00:00,0.876,7.34
MAC000450,2012-03-23 03:30:00,0.964,7.35
MAC000450,2012-03-23 04:00:00,0.938,7.35
MAC000450,2012-03-23 04:30:00,1.0700001,6.78
MAC000450,2012-03-23 05:00:00,0.989,6.78
MAC000450,2012-03-23 05:30:00,0.938,6.74
MAC000450,2012-03-23 06:00:00,0.922,6.74
MAC000450,2012-03-23 06:30:00,0.828,7.42
MAC000450,2012-03-23 07:00:00,1.0140001,7.42
MAC000450,2012-03-23 07:30:00,1.54,8.77
MAC000450,2012-03-23 08:00:00,1.484,8.77
MAC000450,2012-03-23 08:30:00,1.446,10.68
MAC000450,2012-03-23 09:00:00,1.143,10.68
MAC000450,2012-03-23 09:30:00,0.681,13.39
MAC000450,2012-03-23 10:00:00,0.722,13.39
MAC000450,2012-03-23 10:30:00,0.727,14.8
MAC000450,2012-03-23 11:00:00,0.687,14.8
MAC000450,2012-03-23 11:30:00,0.754,16.92
MAC000450,2012-03-23 12:00:00,0.801,16.92
MAC000450,2012-03-23 12:30:00,0.79,18.03
MAC000450,2012-03-23 13:00:00,1.012,18.03
MAC000450,2012-03-23 13:30:00,0.826,19.31
MAC000450,2012-03-23 14:00:00,0.842,19.31
MAC000450,2012-03-23 14:30:00,0.878,19.45
MAC000450,2012-03-23 15:00:00,0.582,19.45
MAC000450,2012-03-23 15:30:00,0.717,19.48
MAC000450,2012-03-23 16:00:00,0.593,19.48
MAC000450,2012-03-23 16:30:00,0.654,18.11
MAC000450,2012-03-23 17:00:00,0.625,18.11
MAC000450,2012-03-23 17:30:00,0.951,16.18
MAC000450,2012-03-23 18:00:00,1.301,16.18
MAC000450,2012-03-23 18:30:00,1.41,14.31
MAC000450,2012-03-23 19:00:00,1.473,14.31
MAC000450,2012-03-23 19:30:00,1.5549999,12.88
MAC000450,2012-03-23 20:00:00,1.507,12.88
MAC000450,2012-03-23 20:30:00,1.623,11.77
MAC000450,2012-03-23 21:00:00,1.825,11.77
MAC000450,2012-03-23 21:30:00,1.503,11.34
MAC000450,2012-03-23 22:00:00,1.691,11.34
MAC000450,2012-03-23 22:30:00,1.462,9.77
MAC000450,2012-03-23 23:00:00,1.206,9.77
MAC000450,2012-03-23 23:30:00,1.189,9.18
MAC000450,2012-03-24 00:00:00,1.284,9.18
MAC000450,2012-03-24 00:30:00,1.395,8.12
MAC000450,2012-03-24 01:00:00,1.012,8.12
MAC000450,2012-03-24 01:30:00,0.912,7.59
MAC000450,2012-03-24 02:00:00,0.854,7.59
MAC000450,2012-03-24 02:30:00,0.916,7.51
MAC000450,2012-03-24 03:00:00,0.862,7.51
MAC000450,2012-03-24 03:30:00,0.883,7.29
MAC000450,2012-03-24 04:00:00,0.876,7.29
MAC000450,2012-03-24 04:30:00,0.92,6.87
MAC000450,2012-03-24 05:00:00,0.887,6.87
MAC000450,2012-03-24 05:30:00,0.882,6.42
MAC000450,2012-03-24 06:00:00,0.869,6.42
MAC000450,2012-03-24 06:30:00,0.632,7.44
MAC000450,2012-03-24 07:00:00,0.656,7.44
MAC000450,2012-03-24 07:30:00,0.82,9.17
MAC000450,2012-03-24 08:00:00,0.799,9.17
MAC000450,2012-03-24 08:30:00,1.645,10.96
MAC000450,2012-03-24 09:00:00,1.071,10.96
MAC000450,2012-03-24 09:30:00,1.709,13.99
MAC000450,2012-03-24 10:00:00,2.092,13.99
MAC000450,2012-03-24 10:30:00,1.5039999,15.47
MAC000450,2012-03-24 11:00:00,1.427,15.47
MAC000450,2012-03-24 11:30:00,2.01,16.97
MAC000450,2012-03-24 12:00:00,0.869,16.97
MAC000450,2012-03-24 12:30:00,0.958,18.83
MAC000450,2012-03-24 13:00:00,1.075,18.83
MAC000450,2012-03-24 13:30:00,1.325,18.79
MAC000450,2012-03-24 14:00:00,1.451,18.79
MAC000450,2012-03-24 14:30:00,1.446,18.64
MAC000450,2012-03-24 15:00:00,1.416,18.64
MAC000450,2012-03-24 15:30:00,1.377,18.03
MAC000450,2012-03-24 16:00:00,1.3049999,18.03
MAC000450,2012-03-24 16:30:00,1.429,16.4
MAC000450,2012-03-24 17:00:00,1.701,16.4
MAC001074,2012-05-08 10:30:00,0.342,14.11
MAC001074,2012-05-08 11:00:00,0.218,14.11
MAC001074,2012-05-08 11:30:00,0.174,14.33
MAC001074,2012-05-08 12:00:00,0.205,14.33
MAC001074,2012-05-08 12:30:00,0.339,15.28
MAC001074,2012-05-08 13:00:00,0.189,15.28
MAC001074,2012-05-08 13:30:00,0.136,16.67
MAC001074,2012-05-08 14:00:00,0.189,16.67
MAC001074,2012-05-08 14:30:00,0.18,17.2
MAC001074,2012-05-08 15:00:00,0.083,17.2
MAC001074,2012-05-08 15:30:00,0.074,17.24
MAC001074,2012-05-08 16:00:00,0.249,17.24
MAC001074,2012-05-08 16:30:00,0.901,16.89
MAC001074,2012-05-08 17:00:00,0.231,16.89
MAC001074,2012-05-08 17:30:00,0.215,16.31
MAC001074,2012-05-08 18:00:00,0.907,16.31
MAC001074,2012-05-08 18:30:00,1.6619999,15.08
MAC001074,2012-05-08 19:00:00,0.401,15.08
MAC001074,2012-05-08 19:30:00,0.229,14.06
MAC001074,2012-05-08 20:00:00,1.159,14.06
MAC001074,2012-05-08 20:30:00,0.411,13.5
MAC001074,2012-05-08 21:00:00,0.279,13.5
MAC001074,2012-05-08 21:30:00,0.578,12.91
MAC001074,2012-05-08 22:00:00,0.197,12.91
MAC001074,2012-05-08 22:30:00,0.129,12.74
MAC001074,2012-05-08 23:00:00,0.228,12.74
MAC001074,2012-05-08 23:30:00,0.172,11.46
MAC001074,2012-05-09 00:00:00,0.18,11.46
MAC001074,2012-05-09 00:30:00,0.086,11.38
MAC001074,2012-05-09 01:00:00,0.106,11.38
MAC001074,2012-05-09 01:30:00,0.173,11.38
MAC001074,2012-05-09 02:00:00,0.146,11.38
MAC001074,2012-05-09 02:30:00,0.223,10.86
MAC001074,2012-05-09 03:00:00,0.219,10.86
MAC001074,2012-05-09 03:30:00,0.594,10.78
MAC001074,2012-05-09 04:00:00,0.246,10.78
MAC001074,2012-05-09 04:30:00,0.186,10.8
MAC001074,2012-05-09 05:00:00,0.205,10.8
MAC001074,2012-05-09 05:30:00,0.244,10.78
MAC001074,2012-05-09 06:00:00,1.86,10.78
MAC001074,2012-05-09 06:30:00,1.523,10.96
MAC001074,2012-05-09 07:00:00,1.0,10.96
MAC001074,2012-05-09 07:30:00,0.516,11.61
MAC001074,2012-05-09 08:00:00,0.276,11.61
MAC001074,2012-05-09 08:30:00,0.15,12.23
MAC001074,2012-05-09 09:00:00,0.194,12.23
MAC001074,2012-05-09 09:30:00,0.271,13.78
MAC001074,2012-05-09 10:00:00,0.278,13.78
MAC001074,2012-05-09 10:30:00,0.196,14.67
MAC001074,2012-05-09 11:00:00,0.176,14.67
MAC001074,2012-05-09 11:30:00,0.252,15.18
MAC001074,2012-05-09 12:00:00,0.12,15.18
MAC001074,2012-05-09 12:30:00,0.213,15.11
MAC001074,2012-05-09 13:00:00,0.222,15.11
MAC001074,2012-05-09 13:30:00,0.39,15.18
MAC001074,2012-05-09 14:00:00,0.089,15.18
MAC001074,2012-05-09 14:30:00,0.125,14.43
MAC001074,2012-05-09 15:00:00,0.167,14.43
MAC001074,2012-05-09 15:30:00,0.139,14.88
MAC001074,2012-05-09 16:00:00,0.542,14.88
MAC001074,2012-05-09 16:30:00,3.2160001,14.93
MAC001074,2012-05-09 17:00:00,0.518,14.93
MAC001074,2012-05-09 17:30:00,0.164,14.89
MAC001074,2012-05-09 18:00:00,0.603,14.89
MAC001074,2012-05-09 18:30:00,2.5250001,14.63
MAC001074,2012-05-09 19:00:00,3.5150001,14.63
MAC001074,2012-05-09 19:30:00,1.325,14.27
MAC001074,2012-05-09 20:00:00,0.401,14.27
MAC001074,2012-05-09 20:30:00,1.112,14.34
MAC001074,2012-05-09 21:00:00,0.67,14.34
MAC001074,2012-05-09 21:30:00,1.272,14.32
MAC001074,2012-05-09 22:00:00,0.18,14.32
MAC001074,2012-05-09 22:30:00,0.185,14.44
MAC001074,2012-05-09 23:00:00,0.168,14.44
MAC001074,2012-05-09 23:30:00,0.106,14.92
MAC001074,2012-05-10 00:00:00,0.471,14.92
MAC001074,2012-05-10 00:30:00,0.508,15.01
MAC001074,2012-05-10 01:00:00,0.198,15.01
MAC001074,2012-05-10 01:30:00,0.167,15.36
MAC001074,2012-05-10 02:00:00,0.116,15.36
MAC001074,2012-05-10 02:30:00,0.162,15.35
MAC001074,2012-05-10 03:00:00,0.268,15.35
MAC001074,2012-05-10 03:30:00,0.165,14.91
MAC001074,2012-05-10 04:00:00,0.179,14.91
MAC001074,2012-05-10 04:30:00,0.153,14.89
MAC001074,2012-05-10 05:00:00,0.16,14.89
MAC001074,2012-05-10 05:30:00,0.127,14.78
MAC001074,2012-05-10 06:00:00,0.744,14.78
MAC001074,2012-05-10 06:30:00,1.113,14.92
MAC001074,2012-05-10 07:00:00,1.714,14.92
MAC001074,2012-05-10 07:30:00,0.793,15.81
MAC001074,2012-05-10 08:00:00,0.215,15.81
MAC001074,2012-05-10 08:30:00,0.249,16.38
MAC001074,2012-05-10 09:00:00,0.321,16.38
MAC001074,2012-05-10 09:30:00,0.253,16.87
MAC001074,2012-05-10 10:00:00,0.446,16.87
MAC001074,2012-05-10 10:30:00,0.085,16.58
MAC001074,2012-05-10 11:00:00,0.108,16.58
MAC001074,2012-05-10 11:30:00,0.197,17.12
MAC001074,2012-05-10 12:00:00,0.077,17.12
MAC003223,2012-09-17 12:30:00,0.459,18.72
MAC003223,2012-09-17 13:00:00,0.867,18.72
MAC003223,2012-09-17 13:30:00,0.191,17.73
MAC003223,2012-09-17 14:00:00,0.101,17.73
MAC003223,2012-09-17 14:30:00,0.331,17.58
MAC003223,2012-09-17 15:00:00,0.177,17.58
MAC003223,2012-09-17 15:30:00,0.191,17.44
MAC003223,2012-09-17 16:00:00,0.211,17.44
MAC003223,2012-09-17 16:30:00,0.202,17.33
MAC003223,2012-09-17 17:00:00,0.471,17.33
MAC003223,2012-09-17 17:30:00,1.066,17.13
MAC003223,2012-09-17 18:00:00,0.513,17.13
MAC003223,2012-09-17 18:30:00,0.645,16.13
MAC003223,2012-09-17 19:00:00,0.738,16.13
MAC003223,2012-09-17 19:30:00,0.417,15.17
MAC003223,2012-09-17 20:00:00,1.11,15.17
MAC003223,2012-09-17 20:30:00,1.227,15.06
MAC003223,2012-09-17 21:00:00,0.338,15.06
MAC003223,2012-09-17 21:30:00,0.457,15.11
MAC003223,2012-09-17 22:00:00,0.297,15.11
MAC003223,2012-09-17 22:30:00,0.258,14.62
MAC003223,2012-09-17 23:00:00,0.104,14.62
MAC003223,2012-09-17 23:30:00,0.044,14.06
MAC003223,2012-09-18 00:00:00,0.076,14.06
MAC003223,2012-09-18 00:30:00,0.079,13.12
MAC003223,2012-09-18 01:00:00,0.123,13.12
MAC003223,2012-09-18 01:30:00,0.109,12.53
MAC003223,2012-09-18 02:00:00,0.051,12.53
MAC003223,2012-09-18 02:30:00,0.069,12.07
MAC003223,2012-09-18 03:00:00,0.043,12.07
MAC003223,2012-09-18 03:30:00,0.063,12.39
MAC003223,2012-09-18 04:00:00,0.097,12.39
MAC003223,2012-09-18 04:30:00,0.041,11.9
MAC003223,2012-09-18 05:00:00,0.059,11.9
MAC003223,2012-09-18 05:30:00,0.083,11.43
MAC003223,2012-09-18 06:00:00,0.921,11.43
MAC003223,2012-09-18 06:30:00,0.713,11.67
MAC003223,2012-09-18 07:00:00,0.436,11.67
MAC003223,2012-09-18 07:30:00,0.128,12.73
MAC003223,2012-09-18 08:00:00,0.064,12.73
MAC003223,2012-09-18 08:30:00,0.223,14.33
MAC003223,2012-09-18 09:00:00,0.32,14.33
MAC003223,2012-09-18 09:30:00,0.289,15.14
MAC003223,2012-09-18 10:00:00,0.071,15.14
MAC003223,2012-09-18 10:30:00,0.174,16.14
MAC003223,2012-09-18 11:00:00,0.088,16.14
MAC003223,2012-09-18 11:30:00,0.208,15.93
MAC003223,2012-09-18 12:00:00,0.271,15.93
MAC003223,2012-09-18 12:30:00,0.396,17.19
MAC003223,2012-09-18 13:00:00,0.077,17.19
MAC003223,2012-09-18 13:30:00,0.072,17.16
MAC003223,2012-09-18 14:00:00,0.085,17.16
MAC003223,2012-09-18 14:30:00,0.623,16.77
MAC003223,2012-09-18 15:00:00,0.476,16.77
MAC003223,2012-09-18 15:30:00,0.291,16.97
MAC003223,2012-09-18 16:00:00,0.255,16.97
MAC003223,2012-09-18 16:30:00,0.225,16.07
MAC003223,2012-09-18 17:00:00,0.28,16.07
MAC003223,2012-09-18 17:30:00,0.379,14.88
MAC003223,2012-09-18 18:00:00,0.252,14.88
MAC003223,2012-09-18 18:30:00,0.274,13.79
MAC003223,2012-09-18 19:00:00,0.29,13.79
MAC003223,2012-09-18 19:30:00,0.364,12.55
MAC003223,2012-09-18 20:00:00,0.401,12.55
MAC003223,2012-09-18 20:30:00,0.392,11.55
MAC003223,2012-09-18 21:00:00,0.39,11.55
MAC003223,2012-09-18 21:30:00,0.352,10.97
MAC003223,2012-09-18 22:00:00,0.457,10.97
MAC003223,2012-09-18 22:30:00,0.301,9.95
MAC003223,2012-09-18 23:00:00,0.211,9.95
MAC003223,2012-09-18 23:30:00,0.182,9.23
MAC003223,2012-09-19 00:00:00,0.191,9.23
MAC003223,2012-09-19 00:30:00,0.135,8.74
MAC003223,2012-09-19 01:00:00,0.074,8.74
MAC003223,2012-09-19 01:30:00,0.114,8.21
MAC003223,2012-09-19 02:00:00,0.078,8.21
MAC003223,2012-09-19 02:30:00,0.058,7.72
MAC003223,2012-09-19 03:00:00,0.068,7.72
MAC003223,2012-09-19 03:30:00,0.058,7.56
MAC003223,2012-09-19 04:00:00,0.068,7.56
MAC003223,2012-09-19 04:30:00,0.068,7.41
MAC003223,2012-09-19 05:00:00,0.041,7.41
MAC003223,2012-09-19 05:30:00,0.039,7.35
MAC003223,2012-09-19 06:00:00,0.334,7.35
MAC003223,2012-09-19 06:30:00,0.543,8.13
MAC003223,2012-09-19 07:00:00,0.328,8.13
MAC003223,2012-09-19 07:30:00,1.286,10.19
MAC003223,2012-09-19 08:00:00,0.664,10.19
MAC003223,2012-09-19 08:30:00,0.633,11.85
MAC003223,2012-09-19 09:00:00,0.282,11.85
MAC003223,2012-09-19 09:30:00,0.317,14.06
MAC003223,2012-09-19 10:00:00,0.136,14.06
MAC003223,2012-09-19 10:30:00,0.113,15.05
MAC003223,2012-09-19 11:00:00,0.186,15.05
MAC003223,2012-09-19 11:30:00,0.412,16.01
MAC003223,2012-09-19 12:00:00,1.143,16.01
MAC003223,2012-09-19 12:30:00,0.881,15.43
MAC003223,2012-09-19 13:00:00,0.761,15.43
MAC003223,2012-09-19 13:30:00,0.331,16.08
MAC003223,2012-09-19 14:00:00,0.312,16.08
MAC003239,2012-09-18 09:00:00,0.061,14.33
MAC003239,2012-09-18 09:30:00,0.05,15.14
MAC003239,2012-09-18 10:00:00,0.184,15.14
MAC003239,2012-09-18 10:30:00,0.049,16.14
MAC003239,2012-09-18 11:00:00,0.071,16.14
MAC003239,2012-09-18 11:30:00,0.067,15.93
MAC003239,2012-09-18 12:00:00,0.12,15.93
MAC003239,2012-09-18 12:30:00,0.23,17.19
MAC003239,2012-09-18 13:00:00,0.071,17.19
MAC003239,2012-09-18 13:30:00,0.074,17.16
MAC003239,2012-09-18 14:00:00,0.064,17.16
MAC003239,2012-09-18 14:30:00,0.096,16.77
MAC003239,2012-09-18 15:00:00,0.103,16.77
MAC003239,2012-09-18 15:30:00,0.197,16.97
MAC003239,2012-09-18 16:00:00,0.243,16.97
